Play,Act,Scene,Character,Line Number,Text
A Midsummer Night's Dream,1,1,LYSANDER,2,"To-morrow night, when Phoebe doth behold"
A Midsummer Night's Dream,1,1,LYSANDER,3,"Her silver visage in the watery glass,"
A Midsummer Night's Dream,1,1,LYSANDER,4,"Decking with liquid pearl the bladed grass,"
A Midsummer Night's Dream,1,1,LYSANDER,5,"A time that lovers' flights doth still conceal,"
A Midsummer Night's Dream,1,1,LYSANDER,6,Through Athens' gates have we devised to steal.
A Midsummer Night's Dream,1,1,HERMIA,1,"And in the wood, where often you and I"
A Midsummer Night's Dream,1,1,HERMIA,2,"Upon faint primrose-beds were wont to lie,"
A Midsummer Night's Dream,1,1,HERMIA,3,"Emptying our bosoms of their counsel sweet,"
A Midsummer Night's Dream,1,1,HERMIA,4,There my Lysander and myself shall meet;
A Midsummer Night's Dream,1,1,HERMIA,5,"And thence from Athens turn away our eyes,"
A Midsummer Night's Dream,1,1,HERMIA,6,To seek new friends and stranger companies.
A Midsummer Night's Dream,1,1,HERMIA,7,"Farewell, sweet playfellow: pray thou for us;"
A Midsummer Night's Dream,1,1,HERMIA,8,And good luck grant thee thy Demetrius!
A Midsummer Night's Dream,1,1,HERMIA,9,"Keep word, Lysander: we must starve our sight"
A Midsummer Night's Dream,1,1,HERMIA,10,From lovers' food till morrow deep midnight.
A Midsummer Night's Dream,1,1,LYSANDER,1,"I will, my Hermia."
A Midsummer Night's Dream,1,1,LYSANDER,2,"Helena, adieu:"
A Midsummer Night's Dream,1,1,LYSANDER,3,"As you on him, Demetrius dote on you!"
A Midsummer Night's Dream,1,1,HELENA,1,How happy some o'er other some can be!
A Midsummer Night's Dream,1,1,HELENA,2,Through Athens I am thought as fair as she.
A Midsummer Night's Dream,1,1,HELENA,3,But what of that? Demetrius thinks not so;
A Midsummer Night's Dream,1,1,HELENA,4,He will not know what all but he do know:
A Midsummer Night's Dream,1,1,HELENA,5,"And as he errs, doting on Hermia's eyes,"
A Midsummer Night's Dream,1,1,HELENA,6,"So I, admiring of his qualities:"
A Midsummer Night's Dream,1,1,HELENA,7,"Things base and vile, folding no quantity,"
A Midsummer Night's Dream,1,1,HELENA,8,Love can transpose to form and dignity:
A Midsummer Night's Dream,1,1,HELENA,9,"Love looks not with the eyes, but with the mind;"
A Midsummer Night's Dream,1,1,HELENA,10,And therefore is wing'd Cupid painted blind:
A Midsummer Night's Dream,1,1,HELENA,11,Nor hath Love's mind of any judgement taste;
A Midsummer Night's Dream,1,1,HELENA,12,Wings and no eyes figure unheedy haste:
A Midsummer Night's Dream,1,1,HELENA,13,"And therefore is Love said to be a child,"
A Midsummer Night's Dream,1,1,HELENA,14,Because in choice he is so oft beguiled.
A Midsummer Night's Dream,1,1,HELENA,15,"As waggish boys in game themselves forswear,"
A Midsummer Night's Dream,1,1,HELENA,16,So the boy Love is perjured every where:
A Midsummer Night's Dream,1,1,HELENA,17,"For ere Demetrius look'd on Hermia's eyne,"
A Midsummer Night's Dream,1,1,HELENA,18,He hail'd down oaths that he was only mine;
A Midsummer Night's Dream,1,1,HELENA,19,"And when this hail some heat from Hermia felt,"
A Midsummer Night's Dream,1,1,HELENA,20,"So he dissolved, and showers of oaths did melt."
A Midsummer Night's Dream,1,1,HELENA,21,I will go tell him of fair Hermia's flight:
A Midsummer Night's Dream,1,1,HELENA,22,Then to the wood will he to-morrow night
A Midsummer Night's Dream,1,1,HELENA,23,Pursue her; and for this intelligence
A Midsummer Night's Dream,1,1,HELENA,24,"If I have thanks, it is a dear expense:"
A Midsummer Night's Dream,1,1,HELENA,25,"But herein mean I to enrich my pain,"
A Midsummer Night's Dream,1,1,HELENA,26,To have his sight thither and back again.
A Midsummer Night's Dream,1,2,QUINCE,1,Is all our company here?
A Midsummer Night's Dream,1,2,BOTTOM,1,"You were best to call them generally, man by man,"
A Midsummer Night's Dream,1,2,BOTTOM,2,according to the scrip.
A Midsummer Night's Dream,1,2,QUINCE,1,"Here is the scroll of every man's name, which is"
A Midsummer Night's Dream,1,2,QUINCE,2,"thought fit, through all Athens, to play in our"
A Midsummer Night's Dream,1,2,QUINCE,3,"interlude before the duke and the duchess, on his"
A Midsummer Night's Dream,1,2,QUINCE,4,wedding-day at night.
A Midsummer Night's Dream,1,2,BOTTOM,1,"First, good Peter Quince, say what the play treats"
A Midsummer Night's Dream,1,2,BOTTOM,2,"on, then read the names of the actors, and so grow"
A Midsummer Night's Dream,1,2,BOTTOM,3,to a point.
A Midsummer Night's Dream,1,2,QUINCE,1,"Marry, our play is, The most lamentable comedy, and"
A Midsummer Night's Dream,1,2,QUINCE,2,most cruel death of Pyramus and Thisby.
A Midsummer Night's Dream,1,2,BOTTOM,1,"A very good piece of work, I assure you, and a"
A Midsummer Night's Dream,1,2,BOTTOM,2,"merry. Now, good Peter Quince, call forth your"
A Midsummer Night's Dream,1,2,BOTTOM,3,"actors by the scroll. Masters, spread yourselves."
A Midsummer Night's Dream,1,2,QUINCE,1,"Answer as I call you. Nick Bottom, the weaver."
A Midsummer Night's Dream,1,2,BOTTOM,1,"Ready. Name what part I am for, and proceed."
A Midsummer Night's Dream,1,2,QUINCE,1,"You, Nick Bottom, are set down for Pyramus."
A Midsummer Night's Dream,1,2,BOTTOM,1,"What is Pyramus? a lover, or a tyrant?"
A Midsummer Night's Dream,1,2,QUINCE,1,"A lover, that kills himself most gallant for love."
A Midsummer Night's Dream,1,2,BOTTOM,1,That will ask some tears in the true performing of
A Midsummer Night's Dream,1,2,BOTTOM,2,"it: if I do it, let the audience look to their"
A Midsummer Night's Dream,1,2,BOTTOM,3,"eyes; I will move storms, I will condole in some"
A Midsummer Night's Dream,1,2,BOTTOM,4,measure. To the rest: yet my chief humour is for a
